date,url
2020-01-28,http://timesofindia.indiatimes.com//city/dehradun/ukhand-health-dept-issues-alert-against-coronavirus/articleshow/73675184.cms
2020-01-28,http://timesofindia.indiatimes.com//city/patna/first-suspected-case-of-coronavirus-in-bihar/articleshow/73675258.cms
2020-01-28,http://timesofindia.indiatimes.com//city/bengaluru/people-returning-from-china-visit-hosp-seeking-tests-for-ncov/articleshow/73676050.cms
2020-01-28,http://timesofindia.indiatimes.com//city/thiruvananthapuram/coronavirus-436-under-observation/articleshow/73675361.cms
2020-01-28,http://timesofindia.indiatimes.com//city/kochi/1-more-person-admitted-to-ernakulam-med-college/articleshow/73675372.cms
2020-01-28,http://timesofindia.indiatimes.com//city/chennai/coronavirus-pushes-up-demand-for-n95-face-masks-from-india/articleshow/73675648.cms
2020-01-28,http://timesofindia.indiatimes.com//city/goa/gmc-ward-identified-for-coronavirus-cases/articleshow/73677358.cms
2020-01-28,http://timesofindia.indiatimes.com//city/hyderabad/coronavirus-looms-but-no-labs-in-t-to-test-samples/articleshow/73675912.cms
2020-01-29,http://timesofindia.indiatimes.com//city/patna/coronavirus-special-camps-in-border-areas/articleshow/73707520.cms
2020-01-29,http://timesofindia.indiatimes.com//city/hyderabad/corona-scare-5-more-from-hyderabad-kept-in-isolation/articleshow/73711630.cms
2020-01-29,http://timesofindia.indiatimes.com//city/delhi/china-virus-3-still-quarantined-docs-wait-for-test-results/articleshow/73711976.cms
2020-01-29,http://timesofindia.indiatimes.com//city/agra/rapid-response-team-set-up-to-deal-with-coronavirus-in-agra/articleshow/73708830.cms
2020-01-29,http://timesofindia.indiatimes.com//city/ahmedabad/dont-panic-stay-informed-and-alert-govt/articleshow/73710485.cms
2020-01-29,http://timesofindia.indiatimes.com//city/vadodara/corona-isolation-ward-set-up-at-ssg-hospital/articleshow/73710433.cms
2020-01-29,http://timesofindia.indiatimes.com//city/nashik/govt-alerts-dist-health-dept-on-coronavirus/articleshow/73708898.cms
2020-01-29,http://timesofindia.indiatimes.com//city/rajkot/three-stopped-from-boarding-flight-from-china-due-to-high-body-temperature/articleshow/73710552.cms
